"HO","DO","HR","DR","PHI"
3.00,3.00,4.00,6.00,0.00
3.00,3.00,4.00,3.00,0.02
3.00,3.00,5.00,1.00,0.00
3.00,3.00,5.00,2.00,0.00
3.00,3.00,5.00,3.00,0.00
3.00,3.00,5.00,4.00,0.00
3.00,3.00,5.00,5.00,0.00
3.00,3.00,5.00,6.00,0.00
3.00,3.00,6.00,1.00,0.00
3.00,3.00,6.00,2.00,0.00
3.00,3.00,6.00,3.00,0.00
3.00,3.00,6.00,5.00,0.00
3.00,3.00,6.00,6.00,0.00
3.00,3.00,6.00,4.00,0.01
3.00,3.00,7.00,1.00,0.00
3.00,3.00,7.00,2.00,0.00
3.00,3.00,7.00,3.00,0.00
3.00,3.00,7.00,4.00,0.00
3.00,3.00,7.00,5.00,0.00
3.00,3.00,7.00,6.00,0.00
3.00,3.00,8.00,1.00,0.00
3.00,3.00,8.00,2.00,0.00
3.00,3.00,8.00,3.00,0.00
3.00,3.00,8.00,4.00,0.00
3.00,3.00,8.00,5.00,0.00
3.00,3.00,8.00,6.00,0.00
3.00,4.00,1.00,1.00,0.00
3.00,4.00,1.00,2.00,0.00
3.00,4.00,1.00,3.00,0.00
3.00,4.00,1.00,4.00,0.00
3.00,4.00,1.00,5.00,0.00
3.00,4.00,1.00,6.00,0.00
3.00,4.00,2.00,1.00,0.00
3.00,4.00,2.00,2.00,0.00
3.00,4.00,2.00,3.00,0.00
3.00,4.00,2.00,4.00,0.00
3.00,4.00,2.00,5.00,0.00
3.00,4.00,2.00,6.00,0.00
3.00,4.00,3.00,5.00,0.00
3.00,4.00,3.00,6.00,0.00
3.00,4.00,3.00,1.00,0.01
3.00,4.00,3.00,3.00,0.07
3.00,4.00,3.00,2.00,0.07
3.00,4.00,3.00,4.00,0.81
3.00,4.00,4.00,1.00,0.00
3.00,4.00,4.00,2.00,0.00
3.00,4.00,4.00,3.00,0.00
3.00,4.00,4.00,4.00,0.00
3.00,4.00,4.00,5.00,0.00
3.00,4.00,4.00,6.00,0.00
3.00,4.00,5.00,1.00,0.00
3.00,4.00,5.00,2.00,0.00
3.00,4.00,5.00,3.00,0.00
3.00,4.00,5.00,4.00,0.00
3.00,4.00,5.00,5.00,0.00
3.00,4.00,5.00,6.00,0.00
3.00,4.00,6.00,1.00,0.00
3.00,4.00,6.00,2.00,0.00
3.00,4.00,6.00,3.00,0.00
3.00,4.00,6.00,5.00,0.00
3.00,4.00,6.00,6.00,0.00
3.00,4.00,6.00,4.00,0.01
3.00,4.00,7.00,1.00,0.00
3.00,4.00,7.00,2.00,0.00
3.00,4.00,7.00,3.00,0.00
3.00,4.00,7.00,4.00,0.00
3.00,4.00,7.00,5.00,0.00
3.00,4.00,7.00,6.00,0.00
3.00,4.00,8.00,1.00,0.00
3.00,4.00,8.00,2.00,0.00
3.00,4.00,8.00,3.00,0.00
3.00,4.00,8.00,4.00,0.00
3.00,4.00,8.00,5.00,0.00
3.00,4.00,8.00,6.00,0.00
3.00,5.00,1.00,1.00,0.00
3.00,5.00,1.00,2.00,0.00
3.00,5.00,1.00,3.00,0.00
3.00,5.00,1.00,4.00,0.00
3.00,5.00,1.00,6.00,0.00
3.00,5.00,1.00,5.00,0.01
3.00,5.00,2.00,1.00,0.00
3.00,5.00,2.00,2.00,0.00
3.00,5.00,2.00,3.00,0.00
3.00,5.00,2.00,4.00,0.00
3.00,5.00,2.00,5.00,0.00
3.00,5.00,2.00,6.00,0.00
3.00,5.00,3.00,1.00,0.00
3.00,5.00,3.00,2.00,0.00
3.00,5.00,3.00,3.00,0.00
3.00,5.00,3.00,4.00,0.00
3.00,5.00,3.00,6.00,0.00
3.00,5.00,3.00,5.00,0.84
3.00,5.00,4.00,1.00,0.00
3.00,5.00,4.00,2.00,0.00
3.00,5.00,4.00,3.00,0.00
3.00,5.00,4.00,4.00,0.00
3.00,5.00,4.00,6.00,0.00
3.00,5.00,4.00,5.00,0.11
3.00,5.00,5.00,1.00,0.00
3.00,5.00,5.00,2.00,0.00
3.00,5.00,5.00,3.00,0.00
3.00,5.00,5.00,4.00,0.00
3.00,5.00,5.00,5.00,0.00
3.00,5.00,5.00,6.00,0.00
3.00,5.00,6.00,1.00,0.00
3.00,5.00,6.00,2.00,0.00
3.00,5.00,6.00,3.00,0.00
3.00,5.00,6.00,4.00,0.00
3.00,5.00,6.00,6.00,0.00
3.00,5.00,6.00,5.00,0.02
3.00,5.00,7.00,1.00,0.00
3.00,5.00,7.00,2.00,0.00
3.00,5.00,7.00,3.00,0.00
3.00,5.00,7.00,4.00,0.00
3.00,5.00,7.00,5.00,0.00
3.00,5.00,7.00,6.00,0.00
3.00,5.00,8.00,1.00,0.00
3.00,5.00,8.00,2.00,0.00
3.00,5.00,8.00,3.00,0.00
3.00,5.00,8.00,4.00,0.00
3.00,5.00,8.00,5.00,0.00
3.00,5.00,8.00,6.00,0.00
3.00,6.00,1.00,1.00,0.00
3.00,6.00,1.00,2.00,0.00
3.00,6.00,1.00,3.00,0.00
3.00,6.00,1.00,4.00,0.00
3.00,6.00,1.00,5.00,0.00
3.00,6.00,1.00,6.00,0.00
3.00,6.00,2.00,1.00,0.00
3.00,6.00,2.00,2.00,0.00
3.00,6.00,2.00,3.00,0.00
3.00,6.00,2.00,4.00,0.00
3.00,6.00,2.00,5.00,0.00
3.00,6.00,2.00,6.00,0.00
3.00,6.00,3.00,1.00,0.00
3.00,6.00,3.00,2.00,0.00
3.00,6.00,3.00,3.00,0.00
3.00,6.00,3.00,4.00,0.00
3.00,6.00,3.00,5.00,0.00
3.00,6.00,3.00,6.00,0.91
3.00,6.00,4.00,1.00,0.00
3.00,6.00,4.00,2.00,0.00
3.00,6.00,4.00,3.00,0.00
3.00,6.00,4.00,4.00,0.00
3.00,6.00,4.00,5.00,0.00
3.00,6.00,4.00,6.00,0.01
3.00,6.00,5.00,1.00,0.00
3.00,6.00,5.00,2.00,0.00
3.00,6.00,5.00,3.00,0.00
3.00,6.00,5.00,4.00,0.00
3.00,6.00,5.00,5.00,0.00
3.00,6.00,5.00,6.00,0.02
3.00,6.00,6.00,1.00,0.00
3.00,6.00,6.00,2.00,0.00
3.00,6.00,6.00,3.00,0.00
3.00,6.00,6.00,4.00,0.00
3.00,6.00,6.00,5.00,0.00
3.00,6.00,6.00,6.00,0.02
3.00,6.00,7.00,1.00,0.00
3.00,6.00,7.00,2.00,0.00
3.00,6.00,7.00,3.00,0.00
3.00,6.00,7.00,4.00,0.00
3.00,6.00,7.00,5.00,0.00
3.00,6.00,7.00,6.00,0.00
3.00,6.00,8.00,1.00,0.00
3.00,6.00,8.00,2.00,0.00
3.00,6.00,8.00,3.00,0.00
3.00,6.00,8.00,4.00,0.00
3.00,6.00,8.00,5.00,0.00
3.00,6.00,8.00,6.00,0.01
4.00,1.00,1.00,1.00,0.00
4.00,1.00,1.00,4.00,0.00
4.00,1.00,1.00,5.00,0.00
4.00,1.00,1.00,6.00,0.00
4.00,1.00,1.00,2.00,0.01
4.00,1.00,1.00,3.00,0.01
4.00,1.00,2.00,1.00,0.00
4.00,1.00,2.00,2.00,0.00
4.00,1.00,2.00,3.00,0.00
4.00,1.00,2.00,4.00,0.00
4.00,1.00,2.00,5.00,0.00
4.00,1.00,2.00,6.00,0.00
4.00,1.00,3.00,1.00,0.00
4.00,1.00,3.00,2.00,0.00
4.00,1.00,3.00,3.00,0.00
4.00,1.00,3.00,4.00,0.00
4.00,1.00,3.00,5.00,0.00
4.00,1.00,3.00,6.00,0.00
4.00,1.00,4.00,4.00,0.00
4.00,1.00,4.00,5.00,0.00
4.00,1.00,4.00,6.00,0.00
4.00,1.00,4.00,3.00,0.03
4.00,1.00,4.00,1.00,0.34
4.00,1.00,4.00,2.00,0.58
4.00,1.00,5.00,1.00,0.00
4.00,1.00,5.00,3.00,0.00
4.00,1.00,5.00,4.00,0.00
4.00,1.00,5.00,5.00,0.00
4.00,1.00,5.00,6.00,0.00
4.00,1.00,5.00,2.00,0.01
4.00,1.00,6.00,1.00,0.00
4.00,1.00,6.00,2.00,0.00
4.00,1.00,6.00,3.00,0.00
4.00,1.00,6.00,4.00,0.00
4.00,1.00,6.00,5.00,0.00
4.00,1.00,6.00,6.00,0.00
4.00,1.00,7.00,1.00,0.00
4.00,1.00,7.00,2.00,0.00
4.00,1.00,7.00,3.00,0.00
4.00,1.00,7.00,4.00,0.00
4.00,1.00,7.00,5.00,0.00
4.00,1.00,7.00,6.00,0.00
4.00,1.00,8.00,1.00,0.00
4.00,1.00,8.00,2.00,0.00
4.00,1.00,8.00,3.00,0.00
4.00,1.00,8.00,4.00,0.00
4.00,1.00,8.00,5.00,0.00
4.00,1.00,8.00,6.00,0.00
4.00,2.00,1.00,1.00,0.00
4.00,2.00,1.00,2.00,0.00
4.00,2.00,1.00,3.00,0.00
4.00,2.00,1.00,4.00,0.00
4.00,2.00,1.00,5.00,0.00
4.00,2.00,1.00,6.00,0.00
4.00,2.00,2.00,1.00,0.00
4.00,2.00,2.00,2.00,0.00
4.00,2.00,2.00,3.00,0.00
4.00,2.00,2.00,4.00,0.00
4.00,2.00,2.00,5.00,0.00
4.00,2.00,2.00,6.00,0.00
4.00,2.00,3.00,1.00,0.00
4.00,2.00,3.00,2.00,0.00
4.00,2.00,3.00,3.00,0.00
4.00,2.00,3.00,4.00,0.00
4.00,2.00,3.00,5.00,0.00
4.00,2.00,3.00,6.00,0.00
4.00,2.00,4.00,1.00,0.00
4.00,2.00,4.00,4.00,0.00
4.00,2.00,4.00,5.00,0.00
4.00,2.00,4.00,6.00,0.00
4.00,2.00,4.00,3.00,0.17
4.00,2.00,4.00,2.00,0.82
4.00,2.00,5.00,1.00,0.00
4.00,2.00,5.00,2.00,0.00
4.00,2.00,5.00,3.00,0.00
4.00,2.00,5.00,4.00,0.00
4.00,2.00,5.00,5.00,0.00
4.00,2.00,5.00,6.00,0.00
4.00,2.00,6.00,1.00,0.00
4.00,2.00,6.00,2.00,0.00
4.00,2.00,6.00,3.00,0.00
4.00,2.00,6.00,4.00,0.00
4.00,2.00,6.00,5.00,0.00
4.00,2.00,6.00,6.00,0.00
4.00,2.00,7.00,1.00,0.00
4.00,2.00,7.00,2.00,0.00
4.00,2.00,7.00,3.00,0.00
4.00,2.00,7.00,4.00,0.00
4.00,2.00,7.00,5.00,0.00
4.00,2.00,7.00,6.00,0.00
4.00,2.00,8.00,1.00,0.00
4.00,2.00,8.00,2.00,0.00
4.00,2.00,8.00,3.00,0.00
4.00,2.00,8.00,4.00,0.00
4.00,2.00,8.00,5.00,0.00
4.00,2.00,8.00,6.00,0.00
4.00,3.00,1.00,1.00,0.00
4.00,3.00,1.00,2.00,0.00
4.00,3.00,1.00,3.00,0.00
4.00,3.00,1.00,4.00,0.00
4.00,3.00,1.00,5.00,0.00
4.00,3.00,1.00,6.00,0.00
4.00,3.00,2.00,1.00,0.00
4.00,3.00,2.00,2.00,0.00
4.00,3.00,2.00,3.00,0.00
4.00,3.00,2.00,4.00,0.00
4.00,3.00,2.00,5.00,0.00
4.00,3.00,2.00,6.00,0.00
4.00,3.00,3.00,1.00,0.00
4.00,3.00,3.00,2.00,0.00
4.00,3.00,3.00,3.00,0.00
4.00,3.00,3.00,4.00,0.00
4.00,3.00,3.00,5.00,0.00
4.00,3.00,3.00,6.00,0.00
4.00,3.00,4.00,1.00,0.00
4.00,3.00,4.00,2.00,0.00
4.00,3.00,4.00,5.00,0.00
4.00,3.00,4.00,6.00,0.00
4.00,3.00,4.00,4.00,0.20
4.00,3.00,4.00,3.00,0.79
4.00,3.00,5.00,1.00,0.00
4.00,3.00,5.00,2.00,0.00
4.00,3.00,5.00,3.00,0.00
4.00,3.00,5.00,4.00,0.00
4.00,3.00,5.00,5.00,0.00
4.00,3.00,5.00,6.00,0.00
4.00,3.00,6.00,1.00,0.00
4.00,3.00,6.00,2.00,0.00
4.00,3.00,6.00,3.00,0.00
4.00,3.00,6.00,4.00,0.00
4.00,3.00,6.00,5.00,0.00
4.00,3.00,6.00,6.00,0.00
4.00,3.00,7.00,1.00,0.00
4.00,3.00,7.00,2.00,0.00
4.00,3.00,7.00,3.00,0.00
4.00,3.00,7.00,4.00,0.00
4.00,3.00,7.00,5.00,0.00
4.00,3.00,7.00,6.00,0.00
4.00,3.00,8.00,1.00,0.00
4.00,3.00,8.00,2.00,0.00
4.00,3.00,8.00,3.00,0.00
4.00,3.00,8.00,4.00,0.00
4.00,3.00,8.00,5.00,0.00
4.00,3.00,8.00,6.00,0.00
4.00,4.00,1.00,1.00,0.00
4.00,4.00,1.00,2.00,0.00
4.00,4.00,1.00,3.00,0.00
4.00,4.00,1.00,4.00,0.00
4.00,4.00,1.00,5.00,0.00
4.00,4.00,1.00,6.00,0.00
4.00,4.00,2.00,1.00,0.00
4.00,4.00,2.00,2.00,0.00
4.00,4.00,2.00,3.00,0.00
4.00,4.00,2.00,4.00,0.00
4.00,4.00,2.00,5.00,0.00
4.00,4.00,2.00,6.00,0.00
4.00,4.00,3.00,1.00,0.00
4.00,4.00,3.00,2.00,0.00
4.00,4.00,3.00,3.00,0.00
4.00,4.00,3.00,4.00,0.00
4.00,4.00,3.00,5.00,0.00
4.00,4.00,3.00,6.00,0.00
4.00,4.00,4.00,2.00,0.00
4.00,4.00,4.00,3.00,0.00
4.00,4.00,4.00,5.00,0.00
4.00,4.00,4.00,6.00,0.00
4.00,4.00,4.00,1.00,0.01
4.00,4.00,4.00,4.00,0.97
4.00,4.00,5.00,1.00,0.00
4.00,4.00,5.00,2.00,0.00
4.00,4.00,5.00,3.00,0.00
4.00,4.00,5.00,4.00,0.00
4.00,4.00,5.00,5.00,0.00
4.00,4.00,5.00,6.00,0.00
4.00,4.00,6.00,1.00,0.00
4.00,4.00,6.00,2.00,0.00
4.00,4.00,6.00,3.00,0.00
4.00,4.00,6.00,5.00,0.00
4.00,4.00,6.00,6.00,0.00
4.00,4.00,6.00,4.00,0.01
4.00,4.00,7.00,1.00,0.00
4.00,4.00,7.00,2.00,0.00
4.00,4.00,7.00,3.00,0.00
4.00,4.00,7.00,4.00,0.00
4.00,4.00,7.00,5.00,0.00
4.00,4.00,7.00,6.00,0.00
4.00,4.00,8.00,1.00,0.00
4.00,4.00,8.00,2.00,0.00
4.00,4.00,8.00,3.00,0.00
4.00,4.00,8.00,4.00,0.00
4.00,4.00,8.00,5.00,0.00
4.00,4.00,8.00,6.00,0.00
4.00,5.00,1.00,1.00,0.00
4.00,5.00,1.00,2.00,0.00
4.00,5.00,1.00,3.00,0.00
4.00,5.00,1.00,4.00,0.00
4.00,5.00,1.00,5.00,0.00
4.00,5.00,1.00,6.00,0.00
4.00,5.00,2.00,1.00,0.00
4.00,5.00,2.00,2.00,0.00
4.00,5.00,2.00,3.00,0.00
4.00,5.00,2.00,4.00,0.00
4.00,5.00,2.00,5.00,0.00
4.00,5.00,2.00,6.00,0.00
4.00,5.00,3.00,1.00,0.00
4.00,5.00,3.00,2.00,0.00
4.00,5.00,3.00,3.00,0.00
4.00,5.00,3.00,4.00,0.00
4.00,5.00,3.00,5.00,0.00
4.00,5.00,3.00,6.00,0.00
4.00,5.00,4.00,1.00,0.00
4.00,5.00,4.00,2.00,0.00
4.00,5.00,4.00,3.00,0.00
4.00,5.00,4.00,4.00,0.00
4.00,5.00,4.00,6.00,0.00
4.00,5.00,4.00,5.00,0.98
4.00,5.00,5.00,1.00,0.00
4.00,5.00,5.00,2.00,0.00
4.00,5.00,5.00,3.00,0.00
4.00,5.00,5.00,4.00,0.00
4.00,5.00,5.00,5.00,0.00
4.00,5.00,5.00,6.00,0.00
4.00,5.00,6.00,1.00,0.00
4.00,5.00,6.00,2.00,0.00
4.00,5.00,6.00,3.00,0.00
4.00,5.00,6.00,4.00,0.00
4.00,5.00,6.00,6.00,0.00
4.00,5.00,6.00,5.00,0.01
4.00,5.00,7.00,1.00,0.00
4.00,5.00,7.00,2.00,0.00
4.00,5.00,7.00,3.00,0.00
4.00,5.00,7.00,4.00,0.00
4.00,5.00,7.00,5.00,0.00
4.00,5.00,7.00,6.00,0.00
4.00,5.00,8.00,1.00,0.00
4.00,5.00,8.00,2.00,0.00
4.00,5.00,8.00,3.00,0.00
4.00,5.00,8.00,4.00,0.00
4.00,5.00,8.00,5.00,0.00
4.00,5.00,8.00,6.00,0.00
4.00,6.00,1.00,1.00,0.00
4.00,6.00,1.00,2.00,0.00
4.00,6.00,1.00,3.00,0.00
4.00,6.00,1.00,4.00,0.00
4.00,6.00,1.00,5.00,0.00
4.00,6.00,1.00,6.00,0.00
4.00,6.00,2.00,1.00,0.00
4.00,6.00,2.00,2.00,0.00
4.00,6.00,2.00,3.00,0.00
4.00,6.00,2.00,4.00,0.00
4.00,6.00,2.00,5.00,0.00
4.00,6.00,2.00,6.00,0.00
4.00,6.00,3.00,1.00,0.00
4.00,6.00,3.00,2.00,0.00
4.00,6.00,3.00,3.00,0.00
4.00,6.00,3.00,4.00,0.00
4.00,6.00,3.00,5.00,0.00
4.00,6.00,3.00,6.00,0.00
4.00,6.00,4.00,1.00,0.00
4.00,6.00,4.00,2.00,0.00
4.00,6.00,4.00,3.00,0.00
4.00,6.00,4.00,4.00,0.00
4.00,6.00,4.00,5.00,0.00
4.00,6.00,4.00,6.00,0.97
4.00,6.00,5.00,1.00,0.00
4.00,6.00,5.00,2.00,0.00
4.00,6.00,5.00,3.00,0.00
4.00,6.00,5.00,4.00,0.00
4.00,6.00,5.00,5.00,0.00
4.00,6.00,5.00,6.00,0.00
4.00,6.00,6.00,1.00,0.00
4.00,6.00,6.00,2.00,0.00
4.00,6.00,6.00,3.00,0.00
4.00,6.00,6.00,4.00,0.00
4.00,6.00,6.00,5.00,0.00
4.00,6.00,6.00,6.00,0.02
4.00,6.00,7.00,1.00,0.00
4.00,6.00,7.00,2.00,0.00
4.00,6.00,7.00,3.00,0.00
4.00,6.00,7.00,4.00,0.00
4.00,6.00,7.00,5.00,0.00
4.00,6.00,7.00,6.00,0.00
4.00,6.00,8.00,1.00,0.00
4.00,6.00,8.00,2.00,0.00
4.00,6.00,8.00,3.00,0.00
4.00,6.00,8.00,4.00,0.00
4.00,6.00,8.00,5.00,0.00
4.00,6.00,8.00,6.00,0.00
5.00,1.00,1.00,1.00,0.00
5.00,1.00,1.00,2.00,0.00
5.00,1.00,1.00,4.00,0.00
5.00,1.00,1.00,5.00,0.00
5.00,1.00,1.00,6.00,0.00
5.00,1.00,1.00,3.00,0.02
5.00,1.00,2.00,1.00,0.00
5.00,1.00,2.00,2.00,0.00
5.00,1.00,2.00,3.00,0.00
5.00,1.00,2.00,4.00,0.00
5.00,1.00,2.00,5.00,0.00
5.00,1.00,2.00,6.00,0.00
5.00,1.00,3.00,1.00,0.00
5.00,1.00,3.00,2.00,0.00
5.00,1.00,3.00,3.00,0.00
5.00,1.00,3.00,4.00,0.00
5.00,1.00,3.00,5.00,0.00
5.00,1.00,3.00,6.00,0.00
5.00,1.00,4.00,1.00,0.00
5.00,1.00,4.00,4.00,0.00
5.00,1.00,4.00,5.00,0.00
5.00,1.00,4.00,6.00,0.00
5.00,1.00,4.00,3.00,0.01
5.00,1.00,4.00,2.00,0.08
5.00,1.00,5.00,5.00,0.00
5.00,1.00,5.00,6.00,0.00
5.00,1.00,5.00,4.00,0.01
5.00,1.00,5.00,3.00,0.14
5.00,1.00,5.00,1.00,0.19
5.00,1.00,5.00,2.00,0.50
5.00,1.00,6.00,1.00,0.00
5.00,1.00,6.00,3.00,0.00
5.00,1.00,6.00,4.00,0.00
5.00,1.00,6.00,5.00,0.00
5.00,1.00,6.00,6.00,0.00
5.00,1.00,6.00,2.00,0.01
5.00,1.00,7.00,1.00,0.00
5.00,1.00,7.00,2.00,0.00
5.00,1.00,7.00,3.00,0.00
5.00,1.00,7.00,4.00,0.00
5.00,1.00,7.00,5.00,0.00
5.00,1.00,7.00,6.00,0.00
5.00,1.00,8.00,1.00,0.00
5.00,1.00,8.00,2.00,0.00
5.00,1.00,8.00,3.00,0.00
5.00,1.00,8.00,4.00,0.00
5.00,1.00,8.00,5.00,0.00
5.00,1.00,8.00,6.00,0.00
5.00,2.00,1.00,1.00,0.00
5.00,2.00,1.00,2.00,0.00
5.00,2.00,1.00,3.00,0.00
5.00,2.00,1.00,4.00,0.00
5.00,2.00,1.00,5.00,0.00
5.00,2.00,1.00,6.00,0.00
5.00,2.00,2.00,1.00,0.00
5.00,2.00,2.00,2.00,0.00
5.00,2.00,2.00,3.00,0.00
5.00,2.00,2.00,4.00,0.00
5.00,2.00,2.00,5.00,0.00
5.00,2.00,2.00,6.00,0.00
5.00,2.00,3.00,1.00,0.00
5.00,2.00,3.00,2.00,0.00
5.00,2.00,3.00,3.00,0.00
5.00,2.00,3.00,4.00,0.00
5.00,2.00,3.00,5.00,0.00
5.00,2.00,3.00,6.00,0.00
5.00,2.00,4.00,1.00,0.00
5.00,2.00,4.00,4.00,0.00
5.00,2.00,4.00,5.00,0.00
5.00,2.00,4.00,6.00,0.00
5.00,2.00,4.00,3.00,0.02
5.00,2.00,4.00,2.00,0.08
5.00,2.00,5.00,1.00,0.00
5.00,2.00,5.00,5.00,0.00
5.00,2.00,5.00,6.00,0.00
5.00,2.00,5.00,4.00,0.01
5.00,2.00,5.00,3.00,0.17
5.00,2.00,5.00,2.00,0.68
5.00,2.00,6.00,1.00,0.00
5.00,2.00,6.00,3.00,0.00
5.00,2.00,6.00,4.00,0.00
5.00,2.00,6.00,5.00,0.00
5.00,2.00,6.00,6.00,0.00
5.00,2.00,6.00,2.00,0.01
5.00,2.00,7.00,1.00,0.00
5.00,2.00,7.00,2.00,0.00
5.00,2.00,7.00,3.00,0.00
5.00,2.00,7.00,4.00,0.00
5.00,2.00,7.00,5.00,0.00
5.00,2.00,7.00,6.00,0.00
5.00,2.00,8.00,1.00,0.00
5.00,2.00,8.00,2.00,0.00
5.00,2.00,8.00,3.00,0.00
5.00,2.00,8.00,4.00,0.00
5.00,2.00,8.00,5.00,0.00
5.00,2.00,8.00,6.00,0.00
5.00,3.00,1.00,1.00,0.00
5.00,3.00,1.00,2.00,0.00
5.00,3.00,1.00,3.00,0.00
5.00,3.00,1.00,4.00,0.00
5.00,3.00,1.00,5.00,0.00
5.00,3.00,1.00,6.00,0.00
5.00,3.00,2.00,1.00,0.00
5.00,3.00,2.00,2.00,0.00
5.00,3.00,2.00,3.00,0.00
5.00,3.00,2.00,4.00,0.00
5.00,3.00,2.00,5.00,0.00
5.00,3.00,2.00,6.00,0.00
5.00,3.00,3.00,1.00,0.00
5.00,3.00,3.00,2.00,0.00
5.00,3.00,3.00,3.00,0.00
5.00,3.00,3.00,4.00,0.00
5.00,3.00,3.00,5.00,0.00
5.00,3.00,3.00,6.00,0.00
5.00,3.00,4.00,1.00,0.00
5.00,3.00,4.00,2.00,0.00
5.00,3.00,4.00,4.00,0.00
5.00,3.00,4.00,5.00,0.00
5.00,3.00,4.00,6.00,0.00
5.00,3.00,4.00,3.00,0.03
5.00,3.00,5.00,1.00,0.00
5.00,3.00,5.00,2.00,0.00
5.00,3.00,5.00,5.00,0.00
5.00,3.00,5.00,6.00,0.00
5.00,3.00,5.00,4.00,0.32
5.00,3.00,5.00,3.00,0.63
5.00,3.00,6.00,1.00,0.00
5.00,3.00,6.00,2.00,0.00
5.00,3.00,6.00,3.00,0.00
5.00,3.00,6.00,5.00,0.00
5.00,3.00,6.00,6.00,0.00
5.00,3.00,6.00,4.00,0.01
5.00,3.00,7.00,1.00,0.00
5.00,3.00,7.00,2.00,0.00
5.00,3.00,7.00,3.00,0.00
5.00,3.00,7.00,4.00,0.00
5.00,3.00,7.00,5.00,0.00
5.00,3.00,7.00,6.00,0.00
5.00,3.00,8.00,1.00,0.00
5.00,3.00,8.00,2.00,0.00
5.00,3.00,8.00,3.00,0.00
5.00,3.00,8.00,4.00,0.00
5.00,3.00,8.00,5.00,0.00
5.00,3.00,8.00,6.00,0.00
5.00,4.00,1.00,1.00,0.00
5.00,4.00,1.00,2.00,0.00
5.00,4.00,1.00,3.00,0.00
5.00,4.00,1.00,4.00,0.00
5.00,4.00,1.00,5.00,0.00
5.00,4.00,1.00,6.00,0.00
5.00,4.00,2.00,1.00,0.00
5.00,4.00,2.00,2.00,0.00
5.00,4.00,2.00,3.00,0.00
5.00,4.00,2.00,4.00,0.00
5.00,4.00,2.00,5.00,0.00
5.00,4.00,2.00,6.00,0.00
5.00,4.00,3.00,1.00,0.00
5.00,4.00,3.00,2.00,0.00
5.00,4.00,3.00,3.00,0.00
5.00,4.00,3.00,4.00,0.00
5.00,4.00,3.00,5.00,0.00
5.00,4.00,3.00,6.00,0.00
5.00,4.00,4.00,1.00,0.00
5.00,4.00,4.00,2.00,0.00
5.00,4.00,4.00,3.00,0.00
5.00,4.00,4.00,4.00,0.00
5.00,4.00,4.00,5.00,0.00
5.00,4.00,4.00,6.00,0.00
5.00,4.00,5.00,5.00,0.00
5.00,4.00,5.00,6.00,0.00
5.00,4.00,5.00,3.00,0.01
5.00,4.00,5.00,2.00,0.01
5.00,4.00,5.00,1.00,0.02
5.00,4.00,5.00,4.00,0.92
5.00,4.00,6.00,1.00,0.00
5.00,4.00,6.00,2.00,0.00
5.00,4.00,6.00,3.00,0.00
5.00,4.00,6.00,5.00,0.00
5.00,4.00,6.00,6.00,0.00
5.00,4.00,6.00,4.00,0.02
5.00,4.00,7.00,1.00,0.00
5.00,4.00,7.00,2.00,0.00
5.00,4.00,7.00,3.00,0.00
5.00,4.00,7.00,4.00,0.00
5.00,4.00,7.00,5.00,0.00
5.00,4.00,7.00,6.00,0.00
5.00,4.00,8.00,1.00,0.00
5.00,4.00,8.00,2.00,0.00
5.00,4.00,8.00,3.00,0.00
5.00,4.00,8.00,4.00,0.00
5.00,4.00,8.00,5.00,0.00
5.00,4.00,8.00,6.00,0.00
5.00,5.00,1.00,1.00,0.00
5.00,5.00,1.00,2.00,0.00
5.00,5.00,1.00,3.00,0.00
5.00,5.00,1.00,4.00,0.00
5.00,5.00,1.00,5.00,0.00
5.00,5.00,1.00,6.00,0.00
5.00,5.00,2.00,1.00,0.00
5.00,5.00,2.00,2.00,0.00
5.00,5.00,2.00,3.00,0.00
5.00,5.00,2.00,4.00,0.00
5.00,5.00,2.00,5.00,0.00
5.00,5.00,2.00,6.00,0.00
5.00,5.00,3.00,1.00,0.00
5.00,5.00,3.00,2.00,0.00
5.00,5.00,3.00,3.00,0.00
5.00,5.00,3.00,4.00,0.00
5.00,5.00,3.00,5.00,0.00
5.00,5.00,3.00,6.00,0.00
5.00,5.00,4.00,1.00,0.00
5.00,5.00,4.00,2.00,0.00
5.00,5.00,4.00,3.00,0.00
5.00,5.00,4.00,4.00,0.00
5.00,5.00,4.00,6.00,0.00
5.00,5.00,4.00,5.00,0.08
5.00,5.00,5.00,1.00,0.00
5.00,5.00,5.00,2.00,0.00
5.00,5.00,5.00,3.00,0.00
5.00,5.00,5.00,4.00,0.00
5.00,5.00,5.00,6.00,0.01
5.00,5.00,5.00,5.00,0.87
5.00,5.00,6.00,1.00,0.00
5.00,5.00,6.00,2.00,0.00
5.00,5.00,6.00,3.00,0.00
5.00,5.00,6.00,4.00,0.00
5.00,5.00,6.00,6.00,0.00
5.00,5.00,6.00,5.00,0.03
5.00,5.00,7.00,1.00,0.00
5.00,5.00,7.00,2.00,0.00
5.00,5.00,7.00,3.00,0.00
5.00,5.00,7.00,4.00,0.00
5.00,5.00,7.00,5.00,0.00
5.00,5.00,7.00,6.00,0.00
5.00,5.00,8.00,1.00,0.00
5.00,5.00,8.00,2.00,0.00
5.00,5.00,8.00,3.00,0.00
5.00,5.00,8.00,4.00,0.00
5.00,5.00,8.00,5.00,0.00
5.00,5.00,8.00,6.00,0.00
5.00,6.00,1.00,1.00,0.00
