Unique_ID,RSI_Site,Time,Vehicle_Type ,Vehicle_Occupancy,Origin_Postcode,Origin_Purpose,Destination_Postcode,Destination_Purpose,OriginX,OriginY,DestinationX,DestinationY,BlackcatOrig,BlackCatDest
18301,StNeots-RSI-2,17:00,CAR,1,PE192EG,HOME,PE196SS,WORKPLACE (YOUR BASE),519035,259726,524490,260175,33192,33252
18302,StNeots-RSI-8 W,8:00,CAR,1,PE192EJ,HOME,PE280LP,EMPLOYERS BUSINESS,519075,259830,510549,269349,33192,32934
18303,StNeots-RSI-8 W,18:30,CAR,3,PE192EL,HOME,PE198JS,SOCIAL/LEISURE PURPOSES,518990,259929,523708,271960,33191,32863
18304,StNeots-RSI-7,12:00,CAR,2,PE192EL,HOME,PE292NH,SOCIAL/LEISURE PURPOSES,518990,259929,523708,271960,33191,32863
18305,StNeots-RSI-2,17:30,CAR,1,PE192EN,HOME,CB41PX,WORKPLACE (YOUR BASE),519102,259925,522564,272105,33192,32863
18306,StNeots-RSI-1,17:00,CAR,1,PE192EN,HOME,PE11DE,WORKPLACE (YOUR BASE),519102,259925,522564,272105,33192,32863
18307,StNeots-RSI-4,15:00,CAR,1,PE192EN,HOME,PE198FT,SHOPS,519102,259925,522564,272105,33192,32863
18308,StNeots-RSI-1,15:30,CAR,1,PE192EN,HOME,PE296NT,WORKPLACE (YOUR BASE),519102,259925,522564,272105,33192,32863
18309,StNeots-RSI-3,12:30,CAR,1,PE192EQ,HOME,PE192SA,SHOPS,519126,259695,518574,262846,33192,32904
18310,StNeots-RSI-1,17:00,CAR,4,PE192EQ,HOME,PE196QD,PERSONAL BUSINESS,519126,259695,518574,262846,33192,32904
18311,StNeots-RSI-8 W,14:30,CAR,1,PE192ES,WORKPLACE (YOUR BASE),PE197RJ,HOME,519414,259829,531458,273021,33183,32841
18312,StNeots-RSI-8 E,9:00,CAR,1,PE192EU,PERSONAL BUSINESS,PE197GZ,HOME,518780,259186,517119,260530,33182,33202
18313,StNeots-RSI-8 W,11:30,CAR,1,PE192EU,PERSONAL BUSINESS,PE198JQ,HOME,518780,259186,517119,260530,33182,33202
18314,StNeots-RSI-8 W,14:30,CAR,1,PE192EU,WORKPLACE (YOUR BASE),PE198PY,HOME,518780,259186,517119,260530,33182,33202
18315,StNeots-RSI-1,15:30,LGV,4,PE192EZ,SCHOOL/COLLEGE/UNI,PE191EX,HOME,519182,259825,518389,260828,33192,33212
18316,StNeots-RSI-8 W,16:30,CAR,1,PE192EZ,WORKPLACE (YOUR BASE),PE195LF,HOME,519182,259825,518389,260828,33192,33212
18317,StNeots-RSI-5,16:00,LGV,2,PE192EZ,SCHOOL/COLLEGE/UNI,PE197GX,HOME,519182,259825,518389,260828,33192,33212
18318,StNeots-RSI-4,15:30,CAR,0,PE192EZ,WORKPLACE (YOUR BASE),PE198PL,HOME,519182,259825,518389,260828,33192,33212
18319,StNeots-RSI-4,12:00,CAR,4,PE192GA,HOME,PE197GG,SCHOOL/COLLEGE/UNI,518018,258748,517368,260754,33184,33202
18320,StNeots-RSI-3,14:30,CAR,1,PE192GB,HOME,N19NR,WORKPLACE (YOUR BASE),517974,258730,530398,183016,33187,70071
18321,StNeots-RSI-3,7:30,CAR,1,PE192GD,HOME,PE195BP,WORKPLACE (YOUR BASE),517968,258701,523919,271981,33187,32863
18322,StNeots-RSI-3,7:30,CAR,1,PE192GD,HOME,SG193AR,EMPLOYERS BUSINESS,517968,258701,523919,271981,33187,32863
18323,StNeots-RSI-3,7:30,CAR,2,PE192GE,HOME,CB223JG,WORKPLACE (YOUR BASE),517945,258666,492166,237744,33187,81015
18324,StNeots-RSI-3,7:00,CAR,2,PE192GE,HOME,MK178DA,SOCIAL/LEISURE PURPOSES,517945,258666,492166,237744,33187,81015
